,Drug Vector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
71,1 0 0 0 1 1 1,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
72,1 0 0 1 0 0 0,0.0,0.0,2.5,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
73,1 0 0 1 0 0 1,0.0,0.0,4.5,0.0,4.5,4.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
74,1 0 0 1 0 1 0,0.0,0.0,2.5,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
75,1 0 0 1 0 1 1,0.0,0.0,2.5,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
76,1 0 0 1 1 0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
77,1 0 0 1 1 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
78,1 0 0 1 1 1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
79,1 0 0 1 1 1 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
80,1 0 1 0 0 0 0,0.0,0.0,0.0,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
81,1 0 1 0 0 0 1,0.0,0.0,0.0,0.0,10.5,10.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
82,1 0 1 0 0 1 0,0.0,0.0,0.0,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
83,1 0 1 0 0 1 1,0.0,0.0,0.0,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
84,1 0 1 0 1 0 0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
85,1 0 1 0 1 0 1,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
86,1 0 1 0 1 1 0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
87,1 0 1 0 1 1 1,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
88,1 0 1 1 0 0 0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
89,1 0 1 1 0 0 1,0.0,0.0,0.0,0.0,4.5,4.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
90,1 0 1 1 0 1 0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
91,1 0 1 1 0 1 1,0.0,0.0,0.0,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
92,1 0 1 1 1 0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
93,1 0 1 1 1 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
94,1 0 1 1 1 1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
95,1 0 1 1 1 1 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
96,1 1 0 0 0 0 0,0.0,0.0,10.5,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
97,1 1 0 0 0 0 1,0.0,0.0,10.5,0.0,10.5,10.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
98,1 1 0 0 0 1 0,0.0,0.0,10.5,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
99,1 1 0 0 0 1 1,0.0,0.0,10.5,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
100,1 1 0 0 1 0 0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
101,1 1 0 0 1 0 1,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
102,1 1 0 0 1 1 0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
103,1 1 0 0 1 1 1,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
104,1 1 0 1 0 0 0,0.0,0.0,2.5,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
105,1 1 0 1 0 0 1,0.0,0.0,4.5,0.0,4.5,4.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
106,1 1 0 1 0 1 0,0.0,0.0,2.5,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
107,1 1 0 1 0 1 1,0.0,0.0,2.5,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
108,1 1 0 1 1 0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
109,1 1 0 1 1 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
