,drug,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
53,"DRG3,DRG6",10.5,10.5,0.0,10.5,10.5,10.5,3.5,0.0,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
54,"DRG3,DRG7",0.0,0.0,0.0,3.5,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
55,"DRG3,DRG8",8.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
56,"DRG3,DRG9",8.5,8.5,0.0,8.5,8.5,8.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
57,"DRG3,DRG10",4.5,4.5,0.0,4.5,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
58,"DRG3,DRG11",8.0,8.0,0.0,8.0,8.0,8.0,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
59,"DRG3,DRG12",8.5,8.5,0.0,8.5,8.5,8.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
60,"DRG3,DRG13",4.5,4.5,0.0,4.5,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
61,"DRG3,DRG14",8.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
62,"DRG3,DRG15",8.5,8.5,0.0,8.5,8.5,8.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
63,"DRG3,DRG16",4.5,4.5,0.0,4.5,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
64,"DRG3,DRG17",8.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
65,"DRG3,DRG18",8.0,8.0,0.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
66,"DRG3,DRG19",10.5,10.5,2.0,10.5,10.5,10.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,6.5,6.5,6.5,3.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
67,"DRG3,DRG20",10.5,10.5,0.5,10.5,10.5,10.5,3.5,3.5,3.5,3.5,3.5,3.5,0.5,0.5,0.5,8.5,8.5,8.5,0.5,3.5,3.5,3.5,1.5,1.5,0.5,0.5,0.5
68,"DRG3,DRG21",10.5,10.5,0.0,10.5,10.5,10.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,2.0,1.0,1.0,0.5,0.5,0.5
69,"DRG3,DRG22",10.5,10.5,0.0,10.5,10.5,10.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
70,"DRG3,DRG23",4.5,4.5,0.0,4.5,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,1.5,1.5,1.5,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5
71,"DRG3,DRG24",10.5,10.5,1.0,10.5,10.5,10.5,3.5,3.5,3.5,3.5,3.5,3.5,1.0,1.0,1.0,6.5,6.5,6.5,1.5,2.0,2.0,2.0,1.0,1.0,1.5,1.5,1.5
72,"DRG3,DRG25",8.5,8.5,0.0,8.5,8.5,8.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,5.0,5.0,5.0,0.5,1.5,1.5,1.5,1.0,1.0,0.0,0.5,0.5
73,"DRG3,DRG26",8.5,8.5,0.0,8.5,8.5,8.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,5.0,5.0,5.0,0.5,1.5,1.5,1.5,1.0,1.0,0.5,0.0,0.5
74,"DRG3,DRG27",10.5,10.5,0.5,10.5,10.5,10.5,3.5,3.5,3.5,3.5,3.5,3.5,0.5,0.5,0.5,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.5,1.5,1.0,0.5,0.5
75,"DRG4,DRG5",0.0,0.0,3.5,0.0,0.0,10.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
76,"DRG4,DRG6",10.5,10.5,10.5,0.0,10.5,10.5,3.5,0.0,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
77,"DRG4,DRG7",0.0,0.0,3.5,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
78,"DRG4,DRG8",8.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
79,"DRG4,DRG9",8.5,8.5,8.5,0.0,8.5,8.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
80,"DRG4,DRG10",4.5,4.5,4.5,0.0,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
81,"DRG4,DRG11",8.0,8.0,8.0,0.0,8.0,8.0,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
82,"DRG4,DRG12",8.5,8.5,8.5,0.0,8.5,8.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
83,"DRG4,DRG13",4.5,4.5,4.5,0.0,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
84,"DRG4,DRG14",8.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
85,"DRG4,DRG15",8.5,8.5,8.5,0.0,8.5,8.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
86,"DRG4,DRG16",4.5,4.5,4.5,0.0,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
87,"DRG4,DRG17",8.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
88,"DRG4,DRG18",8.0,8.0,8.0,0.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
89,"DRG4,DRG19",10.5,10.5,10.5,2.0,10.5,10.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,6.5,6.5,6.5,3.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
90,"DRG4,DRG20",10.5,10.5,10.5,0.5,10.5,10.5,3.5,3.5,3.5,3.5,3.5,3.5,0.5,0.5,0.5,8.5,8.5,8.5,0.5,3.5,3.5,3.5,1.5,1.5,0.5,0.5,0.5
91,"DRG4,DRG21",10.5,10.5,10.5,0.0,10.5,10.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,2.0,1.0,1.0,0.5,0.5,0.5
92,"DRG4,DRG22",10.5,10.5,10.5,0.0,10.5,10.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
93,"DRG4,DRG23",4.5,4.5,4.5,0.0,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,1.5,1.5,1.5,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5
94,"DRG4,DRG24",10.5,10.5,10.5,1.0,10.5,10.5,3.5,3.5,3.5,3.5,3.5,3.5,1.0,1.0,1.0,6.5,6.5,6.5,1.5,2.0,2.0,2.0,1.0,1.0,1.5,1.5,1.5
95,"DRG4,DRG25",8.5,8.5,8.5,0.0,8.5,8.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,5.0,5.0,5.0,0.5,1.5,1.5,1.5,1.0,1.0,0.0,0.5,0.5
96,"DRG4,DRG26",8.5,8.5,8.5,0.0,8.5,8.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,5.0,5.0,5.0,0.5,1.5,1.5,1.5,1.0,1.0,0.5,0.0,0.5
97,"DRG4,DRG27",10.5,10.5,10.5,0.5,10.5,10.5,3.5,3.5,3.5,3.5,3.5,3.5,0.5,0.5,0.5,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.5,1.5,1.0,0.5,0.5
98,"DRG5,DRG6",0.0,0.0,0.0,3.5,0.0,10.5,3.5,0.0,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
